                              sybarite lexicon                              
            This is a dictionary of sybarite words and phrases           
                             written by Lilith                                   
								   
SYBARITE LEXICON

ae        - I, me
a co'rin  - willed, created, wrought, or made by; also achievement
airvahn   - price, value, cost
alchem    - complex result or end; what was made with effort
aliecis   - beware, be wary, protect, en garde
amma      - female, girl, woman
ammali    - great mother (grand)
Am'li     - mother, matriarch   
amlis     - shadow(s)
amon      - in strength; in fullness; full capacity
arcard    - dislike
aren      - anger
arus      - heart or faithful, depending on context
ashi      - foot, feet, leg, lower limb
atra      - prevent 
aveni     - eternal, always, in future
Avenir    - That which always was, is, and will be

banti     - now
beya      - border, edge, rim, ridge
bi'nha    - face
bleni     - unique, special
blenryth  - soul
burs      - suffering, pain; also: endure, persist

ch'allah  - beloved female
ch'alla   - beloved male
ch'havran - a toast to your health, farewell, my deepest respect
cha       - mouth, lips 
cha'gorta - overly talkative: a gossip, a braggart, or a fool
cha'ur    - speak/speaker   pl. cha'uri
ci'cha    - put food in mouth, eat, chew (pronounced see-chaw)
cith      - food, meat (pronounced seeth)
citha     - meal, dinner

datharti  - raiders, hunter
d'bita    - doubt
dej-minha - honor guard; the female half-elves serving the Hegemon
diable    - fast, quick, hasty
duhar     - listen, hear, join in communication
du'Hlaj   - The Twelfth Hour ritual joinings
duit      - bonded (usally marriage) 
du'it     - joined together
d'xi      - ominous, forboding, forbidden (pronounced dixie)
D'xit Syb - The Forbidden City of Sybarus (pronounced dixit)

e'        - indicates smaller, diminutive, or simpler version; little
ectios    - ritual goodbye
e'frang   - little or simple pleasure
emait     - formal greeting
e'maka    - blink (little eye)
ensi      - smith, smithy
ensi gra'zo - weaponsmith
ep'u      - with
ersin     - one who deceives or betrays; from the now disbanded House Ersin 
            and the judgement of Llinisa dei Ersin by Plalgus in SA 101.

fayli     - great father (grand)
fayn      - male, boy, man
Fayn'li   - patriarch, father
flarios   - wise one, elder  pl. flari
fris      - branch, twig, limb, piece of wood
frang     - pleasure, joy

gel'ic    - like
gra       - tool
gra'cith  - tool for eating food; spoon or fork
gra'zo    - weapon (tool of ending)

har       - ear
hena      - year (12 wei, which in RL is 72 days or just over 10 weeks)
hlaj      - sexual relations
h'leke    - willow
Holm      - hunting ground of Sybarus

Idrys     - the Gods, the Pantheon of Sybarus
if'ra     - understand, absorb, internalize
ip        - of
ipk'nna   - flesh, body (of what feels)
istu      - that

jost      - cure, as in a medicine or remedy
jost'ae   - I am healed/cured/recovered/well
jost'kai  - one who is cured or healed
jure      - simple 

kai       - who 
kay-en    - hot pepper, spicy
kesoit    - sacred sybarite tree. Wood is nearly black with red veins 
            and has a distinctive pleasant smell. Fire resistant. The
            resin or gum is used in foods, cosmetics, and medicines. It
            looks like a majestic acacia with a long trunk and wide canopy.
ki'lyle   - death, kill (the 'ki' is pronounced like 'key')
Ki'las    - deadly. Also, the name of the combat veil of the SU.
k'chaar   - bridge
k'miasil  - warrior, fighter, death-dealer
k'nna     - feel, touch
kula      - to open; also, opening, hole, window
kulat     - room, space, area, place
ku'she    - beautiful, gorgeous, pretty

la-ir     - pure
l'mus     - leave
luyal     - story, tale
lu        - light, illumination
lu'arna   - body of light, as in moon, stars, or the Source when capitalized
lu'fris   - torch
lu'sinur  - flaming infidel, one who is punished by burning alive
lupra'et  - vexing light (the sun)

maka      - eye, eyes, sight, visual
mali      - calm, peaceful, tranquil, safe
mali'syb  - safe home; a place of peace, sanctuary, refuge, haven
mepu      - table
moyu      - remember
moki      - a simple, uncomplicated person; a commoner
mu'mon    - the fruit of the kesoit tree

n'        - negative or subtractive version; without
na'arves  - sea, ocean, large body of water, something that flows
naliya    - garments, clothing, also: uniform
nenlu     - nose, snout
nes'na    - smell, scent
nessu     - dance, grace
n'la-ir   - impure, polluted
n'moyu    - forgotten, unmemorable
noho      - chair
noho-yer  - to occupy or stay in one place for a long while; remain, rest
n'orci    - without sound; silence, quiet
n'syb     - without a home, homeless
n'qeni    - coward, cowardice (without courage)
n'var     - don't, no, not, no thank you, I refuse (context dependant)

okmao     - fear, afraid
orymil    - task, job, work, quest
orci      - sound, noise, music

pashat    - enjoy
pek'u     - tooth, teeth
plantilsi - to summon, to name three times
pra'et    - vex, trouble
pym       - slow

qeni      - courage, bravery
quarl     - a savage; humanoid degenerated to an animalistic state
quelit    - united

res       - our, we, us
rolau     - like
roras     - to see
ry'cha    - tongue
ry'iak    - strange or different
r'yi      - spirit or being not of this plane 
ryth      - eternal, undying

s'ceadwe  - corrupt, corruption also trouble, trouble-maker
s'da      - go, move
s'danz    - walk, travel
s'danza   - walking (people)
s'danza r'yi - a walking ghost or spirit (usually one that is cast out)
sera      - to be, something forseen
sin'ur    - infidel or distrusted outlander
s'nay     - ultimate insult that could provoke the target to a bloodrage
su        - you, your
suu'na    - feelings, emotions (soo-oo-nah)
syb       - dwelling, home
syb'arus  - heart-home, home of the Faithful, Sybarus
sydra     - bowl, fountain, cup, container of liquids
syr       - water
syrtis    - spring, as in fresh water spring

Ta'haveth - be easy, be well, be welcome, relax - informal greeting
tama      - head
T'cael    - of course
t'erci    - respectfully 
t'fla     - learn
t'flar    - to learn, to become wiser
t'flas    - learned or wise, enlightened  
tis       - mine, my
temes     - hand
terce     - respect (male)
terca     - respect 
tjana     - gift
toaqar    - think, contemplate
tornu     - guru, master, ultimate practitioner
trare     - proud
trared    - proud of
tress     - hair
t'rar     - friend
t'sla     - snake; sneaky or untrustworthy person

va'lair   - purified or needing purification; also: the cape of the SU.
vein'd    - become, grow
velo      - poison
ve'nu     - wish
verax     - true
Verax     - The One True
verdu     - always
victora   - victory
v'nda     - wind
vulipi    - enemy/enemies

Wei      - week (12 days of 12 hours which is 6 RL days)

yera     - a long time; or 12 hena, akin to a "decade" (in RL it is 864 days: 
           2 years 4 months. This is the age children are weaned by, and at
           2 yeras (age 5ish in RL) female elvish children are sent to their  
           mother's House to be raised by grandmothers.)
yeri     - long for
yerian   - longing
yyra     - as well, also (pronounced why-ruh)

z'       - amplifier. Ups the intensity level of another word
z'orymil - life quest, life's work, task from the Idrys
z'pym    - super-slow
zaren    - wrath, fury (As in, angry as the goddess of wrath)
zo       - final, last, end, ending, closed, closure (context dependent)


ANIMALS
aglyna   - small dragon-like steed
aldyl    - shadow lizard; basically a long-legged gator
bicorn   - a horse with two horns
cari     - racoon
bura     - tiger
d'hues   - deer (small)
duri     - panther
gh'tam   - coyote
ialr     - dog (prounounced yaller)
ialra    - puppy (pronounced yall-ruh)
pahloor  - Cahor's cats; basically displacer beasts
pr'a     - lion
phrynos  - massive and fierce lizard, larger than a horse
sastat   - monkey  pl. sastati
seri     - bird/birds
seri'cha - parrot (bird who speaks)
troloby  - giant humanoids formed by magical tranformation
t'sla    - snake
ul'risa  - wolf
udd      - insect, bug
wyra     - kitten
wyr      - cat
z'pym    - turtle (very slow one)

MAGIC
chrai'ni	earth
flar-Idrys	divination
hla'jeran	life
hl'endh		fire
ilaris		air
maedon		death
m'tenit		enchantment
pr'aith		transformation
ry'alt		water
st'aeris	abjuration
t'aeris		conjuration
tsa-dara	illusion


PHRASES translated from Sybarite to Common:
 
A co'rin temes tis    - By my own hand.
Ae frang duhar su     - I am pleased to listen/converse/meet you.
Ae istu d'bita        - I doubt that (polite way of calling someon a liar).
Airvahn ip alchem     - The price was worth the result.
Aliecis arus          - Beware your heart ("en-garde" for intiating a fight)
Burs a co'rin Idrys   - Suffer by the Will of the Gods.
Ch'alla tis blenryth  - Beloved of my soul.
E'frang mali'syb      - Simple pleasures.
E'maka n'var!         - Blink not! (for the fate of Sybarus rests upon the 
                        tips of your eyelashes)
Idrys ae orymil       - The Gods command me; The Gods have tasked me;
                        I serve the Gods; I do the Gods' work/will.
Jazur ae z'orymil     - I Serve Jazur (as my life's work). 
Moyu kai su pra'et!   - Remember who you vex.
N'okmao n'qeni        - Without fear there is no courage.
Plantilsi amon [name] - I summon thee in full strength [name]
Syb'arus aveni Idrys  - Where the Faithful dwell and serve the Gods, forever.
Toaqar. Diable s'da n'var if'ra  - Contemplate. Furious activity is no
                        substitute for understanding. 
Idrys z'orymil n'var blenryth amon a co'rin Idrys - The Gods charge no soul
                        beyond its capacity to achieve Their Will.
