This chart shows how much reduction a particular AC has in the current
system. This is based on the F_AC_MOD formula in /sys/formulas.h

AC = Armour Class
DR = Damage Reduction as a result of the AC
CAID = Combat aid based on the Damage Reduction

AC		DR		    CAID
1		1.38		1.40
2		2.73		2.81
3		4.07		4.25
4		5.39		5.70
5		6.70		7.18
6		7.98		8.67
7		9.25		10.19
8		10.50		11.73
9		11.73		13.29
10		12.94		14.87
11		14.14		16.47
12		15.33		18.10
13		16.49		19.75
14		17.64		21.42
15		18.77		23.11
16		19.89		24.83
17		21.00		26.58
18		22.08		28.34
19		23.16		30.13
20		24.21		31.95
21		25.26		33.79
22		26.29		35.66
23		27.30		37.55
24		28.30		39.47
25		29.29		41.42
26		30.26		43.40
27		31.22		45.40
28		32.17		47.43
29		33.10		49.48
30		34.02		51.57
31		34.93		53.69
32		35.83		55.83
33		36.71		58.01
34		37.58		60.21
35		38.44		62.45
36		39.29		64.72
37		40.13		67.02
38		40.95		69.35
39		41.76		71.71
40		42.57		74.11
41		43.36		76.54
42		44.14		79.01
43		44.90		81.50
44		45.66		84.04
45		46.41		86.61
46		47.15		89.21
47		47.88		91.85
48		48.59		94.53
49		49.30		97.25
50		50.00		100.00
51		50.69		102.79
52		51.37		105.62
53		52.04		108.49
54		52.70		111.40
55		53.35		114.35
56		53.99		117.35
57		54.62		120.38
58		55.25		123.46
59		55.86		126.58
60		56.47		129.74
61		57.07		132.95
62		57.66		136.20
63		58.25		139.50
64		58.82		142.84
65		59.39		146.23
66		59.95		149.67
67		60.50		153.15
68		61.04		156.69
69		61.58		160.27
70		62.11		163.90
71		62.63		167.59
72		63.14		171.32
73		63.65		175.11
74		64.15		178.95
75		64.64		182.84
76		65.13		186.79
77		65.61		190.79
78		66.08		194.85
79		66.55		198.97
80		67.01		203.14
81		67.47		207.38
82		67.91		211.67
83		68.36		216.02
84		68.79		220.43
85		69.22		224.90
86		69.65		229.44
87		70.06		234.04
88		70.48		238.70
89		70.88		243.43
90		71.28		248.22
91		71.68		253.08
92		72.07		258.01
93		72.45		263.01
94		72.83		268.08
95		73.21		273.21
96		73.57		278.42
97		73.94		283.71
98		74.30		289.06
99		74.65		294.49
100		75.00		300.00
101		75.34		305.58
102		75.68		311.25
103		76.02		316.99
104		76.35		322.81
105		76.67		328.71
106		77.00		334.69
107		77.31		340.76
108		77.62		346.91
109		77.93		353.15
110		78.24		359.48
111		78.54		365.89
112		78.83		372.40
113		79.12		378.99
114		79.41		385.68
115		79.69		392.46
116		79.97		399.33
117		80.25		406.30
118		80.52		413.37
119		80.79		420.54
120		81.05		427.80
121		81.31		435.17
122		81.57		442.64
123		81.83		450.22
124		82.08		457.90
125		82.32		465.69
126		82.57		473.58
127		82.81		481.59
128		83.04		489.71
129		83.28		497.94
130		83.51		506.29
131		83.73		514.75
132		83.96		523.33
133		84.18		532.03
134		84.40		540.86
135		84.61		549.80
136		84.82		558.87
137		85.03		568.07
138		85.24		577.40
139		85.44		586.85
140		85.64		596.44
141		85.84		606.16
142		86.03		616.02
143		86.23		626.02
144		86.42		636.15
145		86.60		646.43
146		86.79		656.85
147		86.97		667.41
148		87.15		678.12
149		87.33		688.99
150		87.50		700.00
151		87.67		711.17
152		87.84		722.49
153		88.01		733.97
154		88.17		745.61
155		88.34		757.42
156		88.50		769.39
157		88.66		781.52
158		88.81		793.83
159		88.97		806.31
160		89.12		818.96
161		89.27		831.79
162		89.42		844.79
163		89.56		857.98
164		89.71		871.36
165		89.85		884.92
166		89.99		898.66
167		90.12		912.61
168		90.26		926.74
169		90.39		941.07
170		90.53		955.61
171		90.66		970.34
172		90.79		985.28
173		90.91		1000.43
174		91.04		1015.79
175		91.16		1031.37
176		91.28		1047.16
177		91.40		1063.18
178		91.52		1079.42
179		91.64		1095.88
180		91.75		1112.57
181		91.87		1129.50
182		91.98		1146.66
183		92.09		1164.07
184		92.20		1181.71
185		92.31		1199.60
186		92.41		1217.75
187		92.52		1236.14
188		92.62		1254.79
189		92.72		1273.70
190		92.82		1292.88
191		92.92		1312.32
192		93.02		1332.04
193		93.11		1352.03
194		93.21		1372.30
195		93.30		1392.85
196		93.39		1413.69
197		93.48		1434.82
198		93.57		1456.25
199		93.66		1477.97
200		93.75		1500.00
