This table gives the combat aid and effect percentage relationship.
This is based on the following formula: combat aid = (100 * e) / (100 - e)
The converse formula is: effect = (100 * c) / (100 + c)

Caid		Effect  		Caid		Effect
----------------------------------------------
0.00%		0%				100.00%		50%
1.01%		1%				104.08%		51%
2.04%		2%				108.33%		52%
3.09%		3%				112.77%		53%
4.17%		4%				117.39%		54%
5.26%		5%				122.22%		55%
6.38%		6%				127.27%		56%
7.53%		7%				132.56%		57%
8.70%		8%				138.10%		58%
9.89%		9%				143.90%		59%
11.11%		10%				150.00%		60%
12.36%		11%				156.41%		61%
13.64%		12%				163.16%		62%
14.94%		13%				170.27%		63%
16.28%		14%				177.78%		64%
17.65%		15%				185.71%		65%
19.05%		16%				194.12%		66%
20.48%		17%				203.03%		67%
21.95%		18%				212.50%		68%
23.46%		19%				222.58%		69%
25.00%		20%				233.33%		70%
26.58%		21%				244.83%		71%
28.21%		22%				257.14%		72%
29.87%		23%				270.37%		73%
31.58%		24%				284.62%		74%
33.33%		25%				300.00%		75%
35.14%		26%				316.67%		76%
36.99%		27%				334.78%		77%
38.89%		28%				354.55%		78%
40.85%		29%				376.19%		79%
42.86%		30%				400.00%		80%
44.93%		31%				426.32%		81%
47.06%		32%				455.56%		82%
49.25%		33%				488.24%		83%
51.52%		34%				525.00%		84%
53.85%		35%				566.67%		85%
56.25%		36%				614.29%		86%
58.73%		37%				669.23%		87%
61.29%		38%				733.33%		88%
63.93%		39%				809.09%		89%
66.67%		40%				900.00%		90%
69.49%		41%				1011.11%	91%
72.41%		42%				1150.00%	92%
75.44%		43%				1328.57%	93%
78.57%		44%				1566.67%	94%
81.82%		45%				1900.00%	95%
85.19%		46%				2400.00%	96%
88.68%		47%				3233.33%	97%
92.31%		48%				4900.00%	98%
96.08%		49%				9900.00%	99%
