The 16 upper Hin Warrior levels ("help slevels" for the lower 16):

 Rank   Male title                         Female title
-------------------------------------------------------------------------------
  17    Hero of the Shires                 Heroine of the Shires
  18    Deputy-Hero of the Shires          Deputy-Heroine of the Shires
  19    Sheriff-Hero of the Shires         Sheriff-Heroine of the Shires
  20    Lesser Krondar of the Shires       Lesser Krondress of the Shires
  21    Krondar of the Shires              Krondress of the Shires
  22    Greater Krondar of the Shires      Greater Krondress of the Shires
  23    Sheriff of the Shires              Sheriff of the Shires
  24    Lesser Master of the Shires        Yallaren Lady of the Shires
  25    Master of the Shires               Lady of the Shires
  26    Greater Master of the Shires       Greater Lady of the Shires
  27    Apprentice Bantor of the Shires    Apprentice Bantress of the Shires
  28    Bantor of the Shires               Bantress of the Shires
  29    Wizened Bantor of the Shires       Wizened Bantress of the Shires
  30    Brilliant Bantor of the Shires     Brilliant Bantress of the Shires
  31    Sorceror                           Sorceress
  32    High White Sorceror                High White Sorceress
