main
::MAPDATA::
pier00 0 0 ctr_n
landing 46 9 ctr_n
pier01n  ctr_n
beach01n 43 7 ctr_n
beach02n 43 7 ctr_n
beach03n 39 5 ctr_n
beach04n 39 5 ctr_n
beach01s 50 9 ctr_n
beach02s 54 11 ctr_n
beach03s 54 11 ctr_n
ctroad01 42 21 ctr_s
ctroad02 42 21 ctr_s
ctroad03 42 21 ctr_s
ctroad04 42 21 ctr_s
ctroad05 42 21 ctr_s
ctroad06 46 19 ctr_s
ctroad07 46 19 ctr_s
ctroad08 46 19 ctr_s
ctroad09 46 19 ctr_s
ctroad10 46 19 ctr_s
ctroad11 46 19 ctr_s
ctroad12 46 17 ctr_s
ctroad13 46 17 ctr_s
ctroad14 46 15 ctr_s
ctroad15 42 13 ctr_s
ctroad16 46 11 ctr_n
ctroad17 46 11 ctr_n
ctroad18 46 11 ctr_n
ctroad19 46 11 ctr_n
ctroad20 46 11 ctr_n
ctroad21 46 11 ctr_n
begin 42 18 ctr_s
glade 46 11 ctr_n
crypt01 52 18 gr1
crypt01_in 52 18 gr1
gr1_00 52 18 gr1
gr1_01 52 18 gr1
gr1_02 52 18 gr1
gr1_03 52 18 gr1
gr1_04 52 18 gr1
gr1_05 52 18 gr1
gr1_06 52 18 gr1
gr1_07 52 18 gr1
gr1_08 52 18 gr1
gr1_09 52 18 gr1
gr1_10 52 18 gr1
gr1_11 52 18 gr1
gr1_12 52 18 gr1
gr1_13 52 18 gr1
gr1_14 52 18 gr1
gr1_15 52 18 gr1
gr1_16 52 18 gr1
gr1_17 52 18 gr1
gr1_18 52 18 gr1
gr1_19 52 18 gr1
gr1_20 52 18 gr1
gr1_21 52 18 gr1
gr1_22 52 18 gr1
gr1_23 52 18 gr1
crypt02 52 18 gr2
gr2_00 52 18 gr2
gr2_01 52 18 gr2
gr2_02 52 18 gr2
gr2_03 52 18 gr2
gr2_04 52 18 gr2
gr2_05 52 18 gr2
gr2_06 52 18 gr2
gr2_07 52 18 gr2
gr2_08 52 18 gr2
gr2_09 52 18 gr2
gr2_10 52 18 gr2
gr2_11 52 18 gr2
gr2_12 52 18 gr2
gr2_13 52 18 gr2
gr2_14 52 18 gr2
gr2_15 52 18 gr2
